Symbol,Name,Industry,Sector,Market Cap,P/E ttm,Price/Book,ROA%,ROE%,Debt/Equity,Price/Cash Flow,Ent Value,EBITDA(a),EBIT(a),Shares Out,Net Income(a),Beta,% Insider,% Institutional,Sales(a),Float,% Float,Price/Sales,Earnings Date,Latest Earnings
CTOS,Custom Truck One Source,Auto - Truck Original Parts,Auto-Tires-Trucks,1344880000,0,1.61,-1.43%,-6.02%,1.97,6.99,2868790000,378900000,137370000,225651000,-28660000,1.18,4.50%,90.07%,N/L,N/L,N/L,N/L,N/L,2025-07-30
CTRA,Coterra Energy Inc,Oil - US Exploration & Product,Oils-Energy,18035856000,12.51,1.28,6.55%,10.61%,0.3,5.79,19293856000,5393000000,3565000000,763261000,1121000000,0.35,1.70%,87.92%,N/L,N/L,N/L,N/L,N/L,2025-08-04
CTSH,Cognizant Tech Sol,IT Services,Computers and Technology,37793860000,15.79,2.54,12.26%,16.73%,0.04,13.09,36437860000,4126000000,3584000000,492942000,2240000000,0.96,0.32%,92.44%,N/L,N/L,N/L,N/L,N/L,2025-07-30
CTVA,Corteva Inc,Agriculture Operations,Consumer Staples,50091740000,26.21,2.04,4.67%,7.84%,0.17,16.67,49688740000,3702000000,2475000000,682170000,907000000,0.76,0.14%,81.54%,N/L,N/L,N/L,N/L,N/L,2025-08-06
CTXR,Citius Pharmaceuticals Inc,Medical - Drugs,Medical,17759000,0,0.26,-37.66%,-58.63%,0,N/A,14509000,-42770000,-42980000,10634000,-39140000,1.23,10.70%,16.88%,N/L,N/L,N/L,N/L,N/L,2025-08-11
CURI,Curiositystream Inc,Movie & TV Production & Dist,Consumer Discretionary,274876000,0,4.46,-8.67%,-12.49%,0,41.310001,266926000,9580000,-9600000,57626000,-12940000,1.72,49.60%,6.79%,N/L,N/L,N/L,N/L,N/L,2025-08-05
CVE,Cenovus Energy Inc,Oil - C$ Integrated,Oils-Energy,26112604000,13.44,1.26,5.04%,9.56%,0.26,4.49,29739714000,10225890000,6671030000,1805851000,2293030000,0.93,N/A,51.19%,N/L,N/L,N/L,N/L,N/L,2025-07-31
CVNA,Carvana Company Cl A,Internet Commerce,Retail-Wholesale,71121176000,114.42,39.27,4.99%,44.86%,3.18,152.550003,74993176000,1570000000,1250000000,214143000,210000000,3.59,17.12%,56.71%,N/L,N/L,N/L,N/L,N/L,2025-07-30
CVS,CVS Corp,Medical Services,Medical,76786656000,9.24,0.96,3.17%,10.59%,0.84,6.47,134470656000,14216000000,9619000000,1265019000,4614000000,0.57,1.22%,80.66%,N/L,N/L,N/L,N/L,N/L,2025-07-31
CVX,Chevron Corp,Oil - International Integrated,Oils-Energy,270411648000,16.76,1.81,6.45%,10.73%,0.2,7.88,288167648000,59763000000,42481000000,1746394000,17661000000,0.83,0.21%,72.42%,N/L,N/L,N/L,N/L,N/L,2025-08-01
CWAN,Clearwater Analytics Holdings Inc Cl A,Internet - Software,Computers and Technology,6039615000,124.29,4.72,4.35%,5.22%,0.04,118.150002,5905425000,37210000,19480000,283284000,424380000,0.74,3.31%,50.10%,N/L,N/L,N/L,N/L,N/L,2025-08-06
CWEN,Clearway Energy Inc Cl C,Other Alt Energy,Oils-Energy,6360771000,39.72,1.19,0.65%,1.68%,1.41,7.05,12807771000,2181000000,1358000000,202186000,88000000,0.87,0.89%,84.53%,N/L,N/L,N/L,N/L,N/L,2025-08-05
CWH,Camping World Holdings Inc,Auto - Truck Original Parts,Auto-Tires-Trucks,1842770000,0,4,-0.57%,-8.66%,3.29,40.119999,3150950000,333240000,249630000,102036000,-38640000,1.86,35.60%,52.54%,N/L,N/L,N/L,N/L,N/L,2025-07-29
CX,Cemex S.A.B. DE C.V. ADR,Building - CMT & CNT & AG,Construction,12186821000,13.52,0.9,3.21%,7.01%,0.56,5.58,19159820000,6499560000,5249560000,1449087000,939000000,1.38,1.00%,82.97%,N/L,N/L,N/L,N/L,N/L,2025-07-24
CXAI,Cxapp Inc,Technology Services,Business Services,21390000,0,1.38,-50.17%,-102.38%,0,N/A,16510000,-7100000,-11160000,19806000,-19410000,0.87,11.06%,14.41%,N/L,N/L,N/L,N/L,N/L,2025-08-11
CXM,Sprinklr Inc Cl A,Technology Services,Business Services,2383898000,64.57,3.64,3.51%,6.86%,0,43.290001,2238628000,35180000,16500000,258838000,121610000,0.8,60.53%,40.19%,N/L,N/L,N/L,N/L,N/L,2025-09-03
CXW,Corecivic Inc,REIT - Equity Trust Other,Finance,2262845000,11.82,1.48,2.88%,5.75%,0.67,9.92,3125875000,436530000,304850000,109158000,68870000,0.77,2.30%,85.13%,N/L,N/L,N/L,N/L,N/L,2025-08-06
CYBR,Cyberark Soft Ord,Security,Computers and Technology,18718990000,1706.09,7.64,0.43%,0.71%,0,803.179993,18192520000,-42520000,-87160000,49427000,-93460000,1,1.40%,91.84%,N/L,N/L,N/L,N/L,N/L,2025-08-07
CYH,Community Health Systems,Medical - Hospitals,Medical,388648000,0,N/A,-0.78%,0.00%,-6.69,1.15,12162648000,1557000000,1071000000,140306000,-516000000,2.06,11.70%,84.99%,N/L,N/L,N/L,N/L,N/L,2025-07-23
CYTK,Cytokinetics,Medical - Biomedical,Medical,4440296000,0,N/A,-43.75%,0.00%,-0.39,N/A,4450186000,-556110000,-565640000,119427000,-589530000,0.59,2.70%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-07
CZR,Caesars Entertainment Inc,Leisure & Recreation Services,Consumer Discretionary,6147534000,0,1.39,-0.35%,-2.60%,2.84,3.56,17328534000,5794000000,3963000000,207968000,-278000000,2.29,0.82%,91.79%,N/L,N/L,N/L,N/L,N/L,2025-07-29
D,Dominion Energy Inc,Utility - Electric Power,Utilities,50101472000,19.33,1.69,2.59%,9.51%,1.44,9.94,92532472000,8582000000,5943000000,852791000,2124000000,0.56,0.11%,73.04%,N/L,N/L,N/L,N/L,N/L,2025-08-01
DAC,Danaos Corp,Transportation - Ship,Transportation,1751453000,3.57,0.5,11.65%,14.66%,0.22,2.49,2032853000,888830000,709900000,18988000,505070000,1.36,41.00%,19.01%,N/L,N/L,N/L,N/L,N/L,2025-08-04
DAIO,Data I O Corp,Electronics - Misc Components,Computers and Technology,30768000,0,1.81,-10.55%,-14.42%,0,N/A,20438000,-2010000,-2570000,9240000,-3090000,0.98,2.60%,36.95%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DAL,Delta Air Lines Inc,Transportation - Airline,Transportation,35820728000,9.26,2.05,5.01%,24.86%,0.86,5.43,48945728000,10785000000,8272000000,652948000,3457000000,1.49,0.88%,69.93%,N/L,N/L,N/L,N/L,N/L,2025-07-10
DAR,Darling International Inc,Food - Misc & Diversified,Consumer Staples,5426436000,52.52,1.23,1.05%,2.37%,0.86,7.1,9354885000,1369060000,859610000,158159000,278880000,1.23,2.62%,94.44%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DASH,Doordash Inc Cl A,Internet - Services,Computers and Technology,105902096000,316.48,12.31,2.68%,4.39%,0,149.520004,101700096000,1310000000,749000000,423744000,123000000,1.7,5.83%,90.64%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DAVA,Endava Plc ADR,IT Services,Computers and Technology,882513000,30.91,1.26,2.35%,3.59%,0.21,12.15,986283000,76170000,27130000,59031000,21560000,1.14,18.77%,62.23%,N/L,N/L,N/L,N/L,N/L,2025-09-18
DAVE,Dave Inc,Technology Services,Business Services,2809538000,50.73,13.98,20.90%,34.86%,0.38,41.639999,2834818000,72040000,64360000,13340000,57870000,3.98,28.48%,18.01%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DAY,Dayforce Inc,Internet - Software,Computers and Technology,9592860000,53.52,3.67,1.98%,6.97%,0.47,25.309999,10229560000,308400000,94400000,159881000,18100000,1.08,4.50%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-06
DB,Deutsche Bank Ag,Banks - Foreign,Finance,66693764000,12.83,0.76,0.35%,6.01%,1.39,11.19,-19083184000,11032050000,8047620000,1992048000,4698480000,0.97,N/A,27.90%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DBRG,Digitalbridge Group Inc,REIT - Mortgage Trusts,Finance,1954790000,29.53,1.2,2.88%,6.06%,0.12,37.029999,2763880000,177590000,141590000,176266000,70520000,1.67,3.62%,92.69%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DBX,Dropbox Inc,Internet - Services,Computers and Technology,7817061000,15.77,N/A,18.89%,-79.66%,-2.19,11.8,8843261000,698800000,526600000,281493000,452300000,0.65,29.95%,94.84%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DCI,Donaldson Company,Pollution Controls,Industrial Products,8381283000,19.85,5.67,14.63%,28.86%,0.44,16.59,8656983000,650300000,551900000,116520000,414000000,0.98,2.70%,82.81%,N/L,N/L,N/L,N/L,N/L,2025-08-27
DCOM,Dime Community Bancshares Inc,Banks - Southeast,Finance,1241831000,14.73,0.94,0.62%,6.90%,0.55,16.65,955161000,112620000,104160000,43819000,29080000,1.07,7.10%,75.27%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DD,Dupont Denemours Inc,Chemical - Diversified,Basic Materials,31709668000,17.35,1.35,4.94%,7.58%,0.31,10.76,35176668000,3356000000,2162000000,418499000,703000000,1.04,0.61%,73.96%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DDD,3D Systems Corp,Printing - Commercial,Industrial Products,245543000,0,1.75,-15.07%,-43.70%,1.46,N/A,288183000,-94630000,-129320000,136413000,-255590000,1.87,4.88%,64.49%,N/L,N/L,N/L,N/L,N/L,2025-09-04
DDOG,Datadog Inc Cl A,Internet - Software,Computers and Technology,51747688000,299.1,17.33,3.27%,6.39%,0,219.910004,50500708000,88680000,29870000,345353000,183750000,1.03,8.70%,78.29%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DE,Deere & Company,Machinery - Farm,Industrial Products,140120464000,24.9,5.74,5.32%,24.39%,2.73,15.16,198071456000,9224000000,7106000000,270827000,7100000000,1.08,0.29%,68.58%,N/L,N/L,N/L,N/L,N/L,2025-08-14
DECK,Deckers Outdoor Corp,Retail - Apparel & Shoes,Retail-Wholesale,17461598000,16.1,6.34,27.32%,40.54%,0,15.35,15572408000,1250820000,1179090000,149436000,966090000,0.99,0.40%,97.79%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DEFT,DeFi Technologies Inc,Technology Services,Business Services,976280000,8.3,19.08,18.71%,171.79%,0.16,N/A,1016140000,105320000,103800000,337813000,-28500000,4.02,N/A,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-13
DELL,Dell Technologies Inc,Computer - Micro,Computers and Technology,89078568000,17.25,N/A,6.43%,-226.48%,-7.92,10.48,104808568000,9605000000,6482000000,678849000,4592000000,1.02,42.00%,76.37%,N/L,N/L,N/L,N/L,N/L,2025-08-28
DENN,Dennys Corp,Retail - Restaurants,Retail-Wholesale,214742000,8.63,N/A,5.41%,-57.90%,-7.3,4.92,474342000,71410000,55920000,51251000,21570000,1.65,4.20%,85.07%,N/L,N/L,N/L,N/L,N/L,2025-08-04
DEO,Diageo Plc ADR,Beverages - Alcohol,Consumer Staples,59555340000,0,4.73,0.00%,0.00%,1.86,13.44,81214336000,6494000000,0,556332000,3870000000,0.56,N/A,8.97%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DFDV,DeFi Development Corp,Internet - Software,Computers and Technology,372974000,0,78.089996,-55.29%,-67.47%,0,N/A,370454000,-2270000,-2580000,19446000,-2730000,-7.12,39.64%,0.48%,N/L,N/L,N/L,N/L,N/L,2025-08-12
DG,Dollar General Corp,Retail - Discount,Retail-Wholesale,23670836000,17.81,3.08,4.25%,17.93%,0.75,10.41,28976746000,2715780000,1744080000,220071000,1125250000,0.31,0.56%,91.77%,N/L,N/L,N/L,N/L,N/L,2025-09-04
DGX,Quest Diagnostics Inc,Medical - Outpatient & Hm Care,Medical,18847764000,18.37,2.65,6.64%,15.24%,0.84,12.73,24598764000,2022000000,1529000000,111823000,871000000,0.49,8.16%,88.06%,N/L,N/L,N/L,N/L,N/L,2025-07-22
DHI,D.R. Horton,Building - Residential & Comm,Construction,43323380000,11.6,1.75,11.07%,15.74%,0.26,9.73,44697080000,5433100000,5346000000,298124000,4756400000,1.38,0.54%,90.63%,N/L,N/L,N/L,N/L,N/L,2025-07-22
DHR,Danaher Corp,Medical Services,Medical,147134368000,26.93,2.77,6.85%,10.70%,0.31,18.57,160556368000,7202000000,4825000000,716052000,3899000000,0.77,11.10%,79.05%,N/L,N/L,N/L,N/L,N/L,2025-07-22
DHT,Dht Holdings,Transportation - Ship,Transportation,1758658000,10.11,1.68,12.09%,17.08%,0.34,6.06,2089948000,401630000,287120000,160608000,181380000,0.05,1.60%,58.53%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DIN,Dineequity Inc,Retail - Restaurants,Retail-Wholesale,383775000,4.82,N/A,4.39%,-34.70%,-5.6,3.07,1364475000,211490000,172340000,15626000,64890000,1.18,4.56%,92.83%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DINO,HF Sinclair Corp,Oil - Refining and Marketing,Oils-Energy,8135544000,0,0.89,0.03%,0.05%,0.29,8.02,9973544000,1621470000,789470000,188410000,177000000,0.93,0.34%,88.29%,N/L,N/L,N/L,N/L,N/L,2025-07-31
DIS,Walt Disney Company,Media Conglomerates,Consumer Discretionary,218372192000,21.25,2.03,5.41%,9.99%,0.39,12.5,258185184000,25494000000,16993000000,1797746000,4972000000,1.56,0.16%,65.71%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DJT,Trump Media & Technology Group Corp,Internet - Software,Computers and Technology,4224969000,0,4.73,-13.76%,-14.17%,0.01,N/A,4064349000,-119580000,-122510000,220625000,-400860000,4.71,53.00%,4.29%,N/L,N/L,N/L,N/L,N/L,2025-08-08
DK,Delek US Holdings,Oil - Refining and Marketing,Oils-Energy,1377896000,0,3.29,-6.64%,-63.88%,7.07,40.099998,3407496000,-253200000,-627700000,60727000,-560400000,0.98,1.80%,97.01%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DKNG,Draftkings Inc,Gaming,Consumer Discretionary,39893996000,0,44.869999,-8.51%,-34.55%,0.67,N/A,38563808000,-245640000,-516490000,889300000,-507290000,1.67,51.19%,37.70%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DKS,Dick's Sporting Goods Inc,Retail - Misc & Diversified,Retail-Wholesale,17385406000,15.02,5.54,11.28%,38.06%,0.49,10.84,17179686000,1911990000,1509250000,80047000,1165310000,1.07,32.55%,89.83%,N/L,N/L,N/L,N/L,N/L,2025-09-03
DLO,Dlocal Ltd Cl A,Financial Transaction Services,Business Services,3091695000,18.05,5.67,15.19%,37.55%,0,17.870001,2716985000,176860000,159460000,285475000,120420000,1.11,45.44%,90.13%,N/L,N/L,N/L,N/L,N/L,2025-08-13
DLR,Digital Realty Trust,REIT - Equity Trust Other,Finance,59918484000,25.57,2.89,3.06%,6.59%,0.78,24.65,74926856000,4121550000,2301950000,336791000,615190000,0.95,0.13%,99.71%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DLTR,Dollar Tree Inc,Retail - Discount,Retail-Wholesale,23876908000,22.13,6.15,5.35%,19.36%,0.88,15.08,26051608000,1981100000,1454200000,208696000,-3030100000,0.86,6.60%,97.40%,N/L,N/L,N/L,N/L,N/L,2025-09-03
DNA,Ginkgo Bioworks Hldgs Inc,Medical - Biomedical,Medical,817107000,0,1.26,-27.14%,-52.35%,0,N/A,255537000,-311990000,-422870000,58532000,-547030000,1.48,9.72%,78.63%,N/L,N/L,N/L,N/L,N/L,2025-08-14
DNB,Dun & Bradstreet Holdings Inc,Business Information,Business Services,4071396000,10.34,1.23,4.32%,11.51%,1.07,4.02,7394196000,1412800000,791800000,446425000,-28600000,1.12,10.44%,86.68%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DNN,Denison Mines Corp,Mining - Misc,Basic Materials,1989953000,0,5.59,-17.19%,-19.96%,0,N/A,1910753000,-78710000,-85960000,896375000,-66500000,1.48,0.58%,36.74%,N/L,N/L,N/L,N/L,N/L,2025-08-14
DNUT,Krispy Kreme Inc,Consumer Prdts - Misc Staple,Consumer Staples,754308000,0,0.65,-0.81%,-2.13%,0.87,6.15,1625898000,220690000,93000000,170658000,3100000,1.29,3.00%,81.72%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DOC,Healthpeak Properties Inc,REIT - Equity Trust Other,Finance,12227284000,10.31,1.48,0.83%,1.83%,1.01,10.91,20761634000,2520000000,1553570000,694732000,243140000,1.03,0.23%,93.57%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DOCN,Digitalocean Holdings Inc,Internet - Software,Computers and Technology,2621779000,21.45,N/A,8.41%,-60.69%,-7.06,10.7,3678699000,249730000,117110000,91034000,84490000,1.76,0.96%,49.77%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DOCS,Doximity Inc Cl A,Medical Information Systems,Medical,11414186000,52.74,10.58,19.78%,22.96%,0,48.16,11204576000,236760000,227790000,187826000,223190000,1.37,37.40%,87.19%,N/L,N/L,N/L,N/L,N/L,2025-08-07
DOCU,Docusign Inc,Internet - Software,Computers and Technology,16138772000,59.5,8.06,7.34%,14.27%,0,27.459999,15490152000,583140000,237560000,202063000,1067890000,1.08,1.01%,77.64%,N/L,N/L,N/L,N/L,N/L,2025-09-04
DOMO,Domo Inc Cl B,Internet - Software,Computers and Technology,642151000,0,N/A,-36.37%,0.00%,-0.67,N/A,714561000,-25420000,-52180000,40235000,-81940000,1.84,15.24%,76.64%,N/L,N/L,N/L,N/L,N/L,2025-09-04
DOUG,Douglas Elliman Inc,Real Estate Operations,Finance,268876000,0,1.53,-1.55%,-4.39%,0.2,N/A,159386000,-17310000,-25050000,88738000,-76320000,1.75,6.79%,59.56%,N/L,N/L,N/L,N/L,N/L,2025-07-31
DOV,Dover Corp,Machinery - General Industrial,Industrial Products,25569898000,20.83,3.58,10.02%,18.77%,0.36,17.209999,26254368000,1546370000,1208530000,137104000,2697130000,1.26,1.30%,84.46%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DOW,Dow Inc,Chemical - Diversified,Basic Materials,18032050000,358.14,0.95,0.10%,0.31%,0.95,4.3,32051050000,4317000000,1423000000,706862000,1116000000,0.89,0.50%,64.00%,N/L,N/L,N/L,N/L,N/L,2025-07-24
DPRO,Draganfly Inc,IT Services,Computers and Technology,32024000,0,32.630001,-183.42%,-831.19%,0,N/A,27464000,-10070000,-10490000,5428000,-10130000,2.37,N/A,10.39%,N/L,N/L,N/L,N/L,N/L,2025-08-12
DPZ,Domino's Pizza Inc,Retail - Restaurants,Retail-Wholesale,16483259000,27.66,N/A,33.17%,-15.09%,-1.27,24.290001,21077098000,971710000,878680000,33949000,584170000,1.09,0.83%,94.63%,N/L,N/L,N/L,N/L,N/L,2025-07-21
DQ,Daqo New Energy ADR,Chemical - Specialty,Basic Materials,1561087000,0,0.29,-6.48%,-7.16%,0,N/A,522737000,-326660000,-533020000,67057000,-345220000,0.6,24.30%,47.22%,N/L,N/L,N/L,N/L,N/L,2025-08-25
DRI,Darden Restaurants,Retail - Restaurants,Retail-Wholesale,23931110000,21.21,10.27,9.23%,51.81%,0.92,14.41,25820010000,2394500000,1878400000,117034000,1049600000,0.74,0.58%,93.64%,N/L,N/L,N/L,N/L,N/L,2025-09-18
DRS,Leonardo Drs Inc,Aerospace - Defense Equipment,Aerospace,12887414000,47.45,4.91,6.67%,10.63%,0.14,36.900002,12654414000,422000000,331000000,266049000,213000000,0.63,0.34%,18.76%,N/L,N/L,N/L,N/L,N/L,2025-07-30
DRVN,Driven Brands Holdings Inc,Retail - Wholesale Auto Parts,Retail-Wholesale,2809103000,17.62,4.36,2.79%,19.61%,4.12,8.1,5332343000,229230000,31090000,164275000,-292500000,1.09,3.50%,77.08%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DSP,Viant Technology Inc,Technology Services,Business Services,913478000,0,3.47,-3.05%,-4.72%,0,113.639999,708428000,20770000,4310000,62567000,2360000,1.12,29.40%,11.38%,N/L,N/L,N/L,N/L,N/L,2025-08-11
DT,Dynatrace Inc,IT Services,Computers and Technology,16340141000,77.46,6.19,5.90%,9.08%,0,57.919998,15323101000,241080000,192980000,301757000,483680000,0.91,0.57%,94.28%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DUK,Duke Energy Corp,Utility - Electric Power,Utilities,93216432000,19.25,1.83,2.66%,9.88%,1.62,8.34,174564432000,20643000000,14224000000,777257000,4524000000,0.37,0.14%,65.31%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DUOL,Duolingo Inc Cl A,Technology Services,Business Services,16549344000,177.81,18.34,7.64%,11.70%,0.06,164.039993,15818214000,80040000,69740000,45454000,88570000,0.89,15.67%,91.59%,N/L,N/L,N/L,N/L,N/L,2025-08-06
DVA,Davita Healthcare Partners Inc,Medical - Outpatient & Hm Care,Medical,10960335000,15.37,N/A,4.66%,176.11%,-1501.73,7.57,21222756000,3482660000,2758800000,75500000,936340000,1.11,2.00%,90.12%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DVAX,Dynavax Technologies,Medical - Biomedical,Medical,1364120000,79.71,2.57,2.20%,3.59%,0,70.480003,1268240000,-16470000,-9980000,120081000,27310000,1.03,2.98%,96.96%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DVN,Devon Energy Corp,Oil - US Exploration & Product,Oils-Energy,21150772000,6.82,1.45,10.62%,21.90%,0.6,3.46,29187772000,10823000000,7560000000,642100000,2891000000,1.02,0.71%,69.72%,N/L,N/L,N/L,N/L,N/L,2025-08-05
DX,Dynex Capital,REIT - Mortgage Trusts,Finance,1366341000,30.17,1.04,0.62%,4.53%,5.19,31.08,7415762000,355740000,306200000,107164000,113900000,0.92,1.00%,38.34%,N/L,N/L,N/L,N/L,N/L,2025-07-21
DXC,Dxc Technology Company,IT Services,Computers and Technology,2592104000,4.25,0.76,4.77%,19.36%,1.11,1.35,4672104000,3071000000,1753000000,181266000,389000000,1.2,0.61%,96.20%,N/L,N/L,N/L,N/L,N/L,2025-07-31
DXCM,Dexcom Inc,Medical Instruments,Medical,34893600000,52.57,15.01,10.00%,30.05%,0.55,38.59,35524500000,850300000,632600000,392107000,576200000,1.44,0.32%,97.75%,N/L,N/L,N/L,N/L,N/L,2025-07-30
DYN,Dyne Therapeutics Inc,Medical - Drugs,Medical,1130987000,0,1.57,-48.84%,-52.83%,0,N/A,695537000,-399030000,-397100000,113667000,-317420000,1.08,14.14%,96.68%,N/L,N/L,N/L,N/L,N/L,2025-08-11
E,Eni S.P.A. ADR,Oil - International Integrated,Oils-Energy,58555640000,10.18,0.95,3.51%,9.16%,0.52,4.12,82585840000,21517080000,13293120000,1687969000,2839430000,0.9,0.01%,1.18%,N/L,N/L,N/L,N/L,N/L,2025-07-25
EA,Electronic Arts Inc,Gaming,Consumer Discretionary,38112936000,30.05,6.23,10.37%,18.73%,0.23,24.309999,37460936000,1943000000,1587000000,251272000,1121000000,0.73,0.24%,90.23%,N/L,N/L,N/L,N/L,N/L,2025-07-29
EAF,Graftech International Ltd,Metal Production & Fabrication,Basic Materials,397553000,0,N/A,-9.72%,0.00%,-10.37,N/A,1232023000,-9830000,-72080000,258151000,-131170000,1.51,0.72%,92.83%,N/L,N/L,N/L,N/L,N/L,2025-07-25
EAT,Brinker International,Retail - Restaurants,Retail-Wholesale,6823229000,18.99,26.139999,14.37%,333.03%,2,18.91,7544929000,806900000,636100000,44451000,155300000,1.7,1.72%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-13
EB,Eventbrite Inc,Internet - Services,Computers and Technology,231841000,0,1.35,-2.16%,-10.12%,1.39,90.860001,8031000,-14810000,-32940000,94629000,-15570000,2.07,21.46%,91.64%,N/L,N/L,N/L,N/L,N/L,2025-08-07
EBAY,Ebay Inc,Internet Commerce,Retail-Wholesale,37539232000,20.98,7.68,9.80%,36.60%,1.36,17.219999,42531232000,2649000000,2325000000,461000000,1975000000,1.26,0.64%,87.48%,N/L,N/L,N/L,N/L,N/L,2025-07-30
EBS,Emergent Biosolutions,Medical - Biomedical,Medical,389173000,0,0.73,-0.17%,-0.52%,1.2,3.89,947273000,82800000,-33400000,54278000,-190600000,2.09,1.20%,78.40%,N/L,N/L,N/L,N/L,N/L,2025-08-06
EC,Ecopetrol S.A. ADR,Oil - International Integrated,Oils-Energy,17639064000,5.66,0.86,2.36%,6.70%,0.13,0.88,134140680000,61039490000,44322480000,2055835000,15225270000,0.84,0.00%,0.00%,N/L,N/L,N/L,N/L,N/L,2025-08-13
ECL,Ecolab Inc,Chemical - Specialty,Basic Materials,77077264000,39.56,8.6,8.82%,22.53%,0.85,26.879999,83385368000,3775200000,2839800000,283633000,2112400000,1.03,0.04%,74.91%,N/L,N/L,N/L,N/L,N/L,2025-07-29
ED,Consolidated Edison Company,Utility - Electric Power,Utilities,36843868000,18.55,1.55,2.76%,8.61%,1.07,8.79,60670868000,7119000000,4964000000,360296000,1820000000,0.26,0.19%,66.29%,N/L,N/L,N/L,N/L,N/L,2025-08-07
EDAP,Edap Tms Sa ADR,Medical Instruments,Medical,52349000,0,1.44,-26.43%,-51.42%,0.21,N/A,31759000,-20540000,-23320000,37392000,-20580000,0,0.23%,62.74%,N/L,N/L,N/L,N/L,N/L,2025-08-27
EDIT,Editas Medicine,Medical - Biomedical,Medical,263696000,0,4.37,-63.87%,-139.25%,0,N/A,132156000,-248070000,-248090000,83713000,-237090000,2.15,2.10%,71.90%,N/L,N/L,N/L,N/L,N/L,2025-08-06
EDU,New Oriental Education & Technology Group ADR,Schools,Consumer Discretionary,7921456000,18.73,1.94,5.31%,9.91%,0,19.440001,6354686000,554280000,447460000,169697000,309590000,0.28,15.50%,0.00%,N/L,N/L,N/L,N/L,N/L,2025-07-30
EE,Excelerate Energy Inc Cl A,Other Alt Energy,Oils-Energy,2719329000,16.48,1.36,1.44%,2.20%,0.25,19.08,2683649000,437560000,333220000,114018000,32880000,1.4,1.83%,21.79%,N/L,N/L,N/L,N/L,N/L,2025-08-06
EFC,Ellington Financial Llc,REIT - Mortgage Trusts,Finance,1251352000,8.44,0.96,0.95%,12.06%,9.02,7.99,15872373000,562300000,566460000,94513000,145860000,0.98,4.10%,55.62%,N/L,N/L,N/L,N/L,N/L,2025-08-07
EFX,Equifax Inc,Consulting,Business Services,30486244000,32.8,5.95,7.84%,18.89%,0.86,19.17,34744344000,2413800000,1733200000,123797000,604100000,1.6,1.40%,96.20%,N/L,N/L,N/L,N/L,N/L,2025-07-22
EGBN,Eagle Bancorp Inc,Banks - Northeast,Finance,493626000,0,0.43,-0.28%,-2.54%,0.06,3.01,-63744000,254460000,141680000,30377000,-47040000,1.05,3.39%,78.03%,N/L,N/L,N/L,N/L,N/L,2025-07-23
EGO,Eldorado Gold Corp,Mining - Gold,Basic Materials,4220316000,12.96,1.06,5.69%,8.41%,0.23,7.29,4278946000,934030000,679040000,203880000,289120000,0.46,0.63%,69.58%,N/L,N/L,N/L,N/L,N/L,2025-07-31
EGP,Eastgroup Properties,REIT - Equity Trust Other,Finance,8774508000,19.31,2.6,4.67%,7.29%,0.43,19.73,10260538000,649140000,459730000,53334000,227750000,1.01,1.00%,92.14%,N/L,N/L,N/L,N/L,N/L,2025-07-23
EH,Ehang Holdings Ltd ADR,Aerospace - Defense Equipment,Aerospace,1436981000,0,11.25,-16.60%,-29.95%,0.18,N/A,1362191000,-36190000,-38070000,71885000,-31480000,1.06,39.60%,94.03%,N/L,N/L,N/L,N/L,N/L,2025-08-28
EIX,Edison International,Utility - Electric Power,Utilities,20373256000,9.98,1.15,2.53%,13.21%,2.04,3.74,58406256000,10891000000,7725000000,384764000,1546000000,0.75,1.20%,88.95%,N/L,N/L,N/L,N/L,N/L,2025-07-31
